Unnamed: 0,adverse weather,capsized,coastal isolation,collision,discharge of contaminated water,disruption,drifting,drunken driving,engine damage,engine failure,exceeding capacity,explosion,fire,flooding,inspection,maritime safety threat,mechanical defects,minor contact,missing,nuclear,nuclear power plants,oil spill,overloading,overturning,prevention,radiation,rescue,safety measures,search and rescue operations,seizure,steering system damage,stranded,violating crew standards,war,injured,deaths,Overall Severity,Severity Level
Article 186,0,0,0,0,0,0,0,0,0.006878503,0.005532628,0,0,0,0,0,0.003146841,0,0,0,0,0,0,0,0,0,0,0,0.003113556,0,0,0,0,0,0,,,0.040740326,low
Article 187,0,0,0,0.078638389,0,0,0,0,0.014271322,0,0,0,0,0,0,0.007310121,0,0.022783374,0.053522955,0,0,0,0,0,0,0,0,0,0.009961272,0,0.011979819,0,0,0,,1,1.231438728,high
Article 188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002128379,0,0,0,0,0,0,0,0,0,0,0,0.002105866,0,0,0,0,0,0,,,0.010715318,low
Article 189,0,0,0,0,0.117326417,0,0,0,0.046777581,0,0,0,0,0,0,0.009144359,0,0,0,0,0.012237797,0,0,0,0,0,0,0.018571777,0,0,0.039266648,0,0,0,,,0.391827206,medium
Article 190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040160404,0,0,0,0,0.021083798,0.055873512,0,0,0.012351553,0,0,0.059672986,0,0,0,0,0,0,,,0.440201511,medium
Article 191,0,0,0,0,0.146543157,0,0,0,0,0,0.009099914,0,0,0,0,0.006748375,0,0,0,0.07133497,0.054207067,0,0,0,0,0,0,0.010894183,0,0,0,0,0.023668748,0.019921981,,,0.372380324,medium
Article 192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,low
Article 193,0,0,0,0.083330481,0.014475465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021482544,0,0.011060613,0,0,0,0,0,0.7,,0.830349104,medium
Article 194,0,0,0,0.139227026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2.139227026,high
Article 195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002393612,0,0,0,0,0,0.02491805,0,0,0,0,0,0.002368293,0,0,0,0,0,0,,,0.036968683,low
Article 196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007149418,0,0,0,0,0,0,0,0,0,0,0,0.007073795,0,0,0,0,0,0,,,0.059605674,low
Article 197,0,0,0,0,0.10082771,0,0,0,0.011348411,0,0,0,0,0,0,0.00295794,0,0,0,0.052112429,0.062839232,0,0,0,0,0.013690918,0,0.002926652,0,0,0.009526231,0,0,0,,,0.285865304,medium
Article 198,0,0.052169525,0,0.118983685,0.020668838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9,,5.242883526,high
Article 199,0,0,0,0.021033314,0,0,0,0.017611912,0,0,0,0,0,0,0,0.029328437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.126684577,low
Article 200,0,0,0,0.041308263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084345837,0,0,0,0,0,0,0,0.042596973,0,0.052332964,0,0,0,0,0,,3,3.307278473,high
Article 201,0,0,0,0,0.00812954,0,0,0,0,0,0,0,0,0,0,0.001660284,0,0,0,0.131627592,0.103068526,0,0,0,0,0,0,0.001642722,0,0,0,0,0,0,,,0.297499555,medium
Article 202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,high
Article 203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003984891,0,0,0.028668705,0,0,0,0,0,0,0,0,0.016393916,0.021342376,0,0,0,0.030636796,0,,1,1.22432329,high
Article 204,0,0,0,0,0.072146261,0,0,0,0.043960852,0.027356585,0,0,0,0,0,0.005186615,0,0,0,0.022844204,0.042939596,0,0,0,0,0.012003206,0,0.005131753,0,0,0.008351911,0,0,0,,,0.273800312,medium
Article 205,0,0,0.005016981,0,0,0,0,0,0,0,0,0,0,0,0,0.034978804,0,0,0,0,0,0,0,0,0,0,0,0.014408658,0,0,0,0,0,0,,,0.197797248,medium
Article 206,0,0.064510383,0,0.147129633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11265699,0,0,0,0,0,0,0,0.018964962,0,0.009764398,0,0,0,0,0,,,0.353026366,medium
Article 207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002628608,0,0,0,0,0,0,0,0,0,0,0,0.010814142,0.007039181,0,0,0,0,0,,,0.156809393,medium
Article 208,0,0,0,0.104552884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2.104552884,high
Article 209,0,0,0,0,0.013583765,0,0,0,0.039478752,0.014632364,0,0.060064029,0,0,0,0.002774193,0,0,0.019958517,0,0,0,0,0,0,0,0,0.002744849,0,0,0.017868926,0,0,0,,,0.309312304,medium
Article 210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,high
Article 211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002932671,0,0,0,0,0,0,0,0,0,0,0,0.002901651,0,0,0,0,0,0,,,0.05566935,low
Article 212,0,0,0,0.108387303,0,0,0,0,0,0,0,0,0,0,0,0.010075541,0,0,0.036885348,0,0,0,0,0,0,0,0.018628118,0,0.009590969,0,0,0,0,0,,1,1.279561757,high
Article 213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004423182,0.016584219,0,0,0,0,0,0,0,0,0,0,0.011286725,0,0,0,0,0,0,,5,5.201859925,high
Article 214,0,0,0,0,0.016760038,0,0,0,0.003749588,0,0,0,0,0,0,0.004886611,0,0,0,0.017218281,0.024686306,0,0,0,0,0.004523567,0,0.004834923,0,0,0.003147528,0,0,0,,,0.141926159,low
Article 215,0,0,0,0.010738864,0,0,0.013197791,0,0,0,0,0,0,0,0,0.038136609,0,0,0,0,0,0,0,0,0,0,0.011073889,0,0.005701559,0,0,0,0.00408882,0,,,0.082937532,low
Article 216,0,0,0,0.021154992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00753002,0,0.027504037,0,0.008054758,0,,,0.085180067,low
Article 217,0,0,0,0.185357847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,5.185357847,high
Article 218,0,0,0,0,0.004296931,0,0,0,0,0,0,0,0,0,0.006723687,0.005204253,0,0,0,0,0,0,0,0,0,0,0,0.001736547,0,0,0,0,0,0,,,0.078595542,low
Article 219,0,0,0.006803155,0,0,0,0,0,0,0,0,0,0,0,0,0.015810719,0,0,0,0,0,0,0,0,0,0,0,0.003172866,0,0,0,0,0.025812247,0,,,0.096003466,low
Article 220,0,0,0,0.054691317,0,0,0,0,0,0,0,0,0,0,0,0.002587035,0,0,0.018612035,0,0,0,0,0,0,0,0,0.00255967,0,0,0,0,0.006941236,0,,295,295.2767783,high
